time_utc,sensor_index,name,dist_mi,bearing,pm25_a,pm25_b,pm25_avg
2025-10-07 23:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.0,4.5,3.25
2025-10-07 06:00:00,146228,Progressive Community Church (NLCEP),19.1,135,13.6,6.7,10.15
2025-10-07 08:00:00,146228,Progressive Community Church (NLCEP),19.1,135,12.4,8.1,10.25
2025-10-07 10:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.9,6.0,3.95
2025-10-07 01:00:00,146228,Progressive Community Church (NLCEP),19.1,135,9.3,5.6,7.45
2025-10-07 15:00:00,146228,Progressive Community Church (NLCEP),19.1,135,0.8,1.8,1.3
2025-10-07 04:00:00,146228,Progressive Community Church (NLCEP),19.1,135,11.4,4.5,7.95
2025-10-07 03:00:00,146228,Progressive Community Church (NLCEP),19.1,135,10.9,3.8,7.35
2025-10-02 15:00:00,146228,Progressive Community Church (NLCEP),19.1,135,3.5,1.6,2.55
2025-10-02 13:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.4,1.4,1.9
2025-10-02 04:00:00,146228,Progressive Community Church (NLCEP),19.1,135,1.7,0.8,1.25
2025-10-02 03:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.1,0.9,1.5
2025-10-02 18:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.6,5.8,6.2
2025-10-02 10:00:00,146228,Progressive Community Church (NLCEP),19.1,135,2.2,0.9,1.55
2025-10-02 02:00:00,146228,Progressive Community Church (NLCEP),19.1,135,3.7,1.6,2.65
2025-10-01 12:00:00,146228,Progressive Community Church (NLCEP),19.1,135,8.4,4.3,6.35
2025-10-01 16:00:00,146228,Progressive Community Church (NLCEP),19.1,135,7.8,6.0,6.9
2025-10-01 17:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.5,3.3,4.9
2025-10-01 09:00:00,146228,Progressive Community Church (NLCEP),19.1,135,6.3,2.9,4.6
2025-10-01 11:00:00,146228,Progressive Community Church (NLCEP),19.1,135,7.8,3.6,5.7
